name,entity_type,naics_code,address,city,state,zip,lca_filing_count,approval_count,building_score,building_flags,in_target_band,size_confidence,job_titles,review_status,first_seen,last_seen
KINETIKATECH  LLC,LLC,541511,,CARTHAGE,TX,75633,1,,,[],true,low,"[""SERVER ADMINISTRATOR""]",auto,2026-06-07,2026-06-07
"Space Automotive, LLC",LLC,541511,,Dallas,TX,75206,1,,,[],true,low,"[""Lead Software Engineer""]",auto,2026-06-07,2026-06-07
TEKMINDS SYSTEM LLC,LLC,541511,,MCKINNEY,TX,75070,1,,,[],true,low,"[""SOFTWARE ENGINEER""]",auto,2026-06-07,2026-06-07
"Ideabud, LLC",LLC,511210,,Austin,TX,78705,1,,,[],true,low,"[""Marketing Specialist""]",auto,2026-06-07,2026-06-07
"STRAY KITE STUDIOS, LLC",LLC,541511,,PLANO,TX,75024,1,,,[],true,low,"[""Technical QA Analyst""]",auto,2026-06-07,2026-06-07
"Austin Arc,LLC.",LLC,541511,,Austin,TX,78731,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
Arise Soft LLC,LLC,541511,,Plano,TX,75024,1,,,[],true,low,"[""Senior Software Engineer""]",auto,2026-06-07,2026-06-07
Nifty Systems LLC,LLC,541511,,Plano,TX,75024,1,,,[],true,low,"[""SOFTWARE DEVELOPER""]",auto,2026-06-07,2026-06-07
"GlobalStep Management Services, LLC",LLC,541511,,Dallas,TX,75225,1,,,[],true,low,"[""Chief of Staff""]",auto,2026-06-07,2026-06-07
Numerique LLC,LLC,541511,,Dallas,TX,75243,1,,,[],true,low,"[""DevOps Engineer""]",auto,2026-06-07,2026-06-07
Data Moguls LLC,LLC,541511,,San Antonio,TX,78217,1,,,[],true,low,"[""Salesforce Developer""]",auto,2026-06-07,2026-06-07
Manvi Tech LLC,LLC,51121,,Spring,TX,77373,1,,,[],true,low,"[""Information Systems Analyst""]",auto,2026-06-07,2026-06-07
Coppel Tech LLC,LLC,541512,,Coppell,TX,75019,1,,,[],true,low,"[""IT Project Manager""]",auto,2026-06-07,2026-06-07
COHESIVE DIGITAL SOLUTIONS LLC,LLC,541511,,Allen,TX,75013,1,,,[],true,low,"[""SOFTWARE DEVELOPER""]",auto,2026-06-07,2026-06-07
All Calendars LLC,LLC,518210,,North Richland Hills,TX,76180,1,,,[],true,low,"[""Software Developer for Applications""]",auto,2026-06-07,2026-06-07
EverLine Tech Ops LLC,LLC,541512,,Houston,TX,77034,1,,,[],true,low,"[""Computer Systems Analyst""]",auto,2026-06-07,2026-06-07
"Physician Paradigms, LLC",LLC,541511,,Dallas,TX,75248,1,,,[],true,low,"[""Software Engineer Associate""]",auto,2026-06-07,2026-06-07
"Golden Section Ventures, LLC",LLC,5415,,Houston,TX,77002,1,,,[],true,low,"[""Public Relations Specialists""]",auto,2026-06-07,2026-06-07
Verdict IT Technologies LLC,LLC,541511,,IRVING,TX,75063,1,,,[],true,low,"[""Devops Engineer""]",auto,2026-06-07,2026-06-07
"OrderMyGear, LLC",LLC,54151,,Dallas,TX,75201,1,,,[],true,low,"[""QA Analysis and Test Engineer""]",auto,2026-06-07,2026-06-07
Successive Technologies LLC,LLC,541511,,Coppell,TX,75019,1,,,[],true,low,"[""President""]",auto,2026-06-07,2026-06-07
"Enter Advisor, LLC",LLC,541511,,Addison,TX,75001,1,,,[],true,low,"[""Regional Director""]",auto,2026-06-07,2026-06-07
"Cosmosyde, LLC",LLC,541511,,Irving,TX,75063,1,,,[],true,low,"[""SAP Analyst""]",auto,2026-06-07,2026-06-07
A4 Global Tech LLC,LLC,541511,,Denton,TX,76205,1,,,[],true,low,"[""Senior Software Engineer""]",auto,2026-06-07,2026-06-07
Micro Focus LLC,LLC,541519,,Plano,TX,75024,1,,,[],true,low,"[""Presales Technical Consultant III""]",auto,2026-06-07,2026-06-07
"Careexpand, LLC",LLC,511210,,Dallas,TX,75254,1,,,[],true,low,"[""Chief Software Architect""]",auto,2026-06-07,2026-06-07
Groove Jones LLC,LLC,54151,,Dallas,TX,75226,1,,,[],true,low,"[""Research Software Development Engineer""]",auto,2026-06-07,2026-06-07
SEVIS SYSTEMS LLC.,LLC,541511,,PLANO,TX,75075,1,,,[],true,low,"[""SOFTWARE QUALITY ASSURANCE ENGINEER""]",auto,2026-06-07,2026-06-07
Wellsite Navigator LLC,LLC,511210,,Houston,TX,77002,1,,,[],true,low,"[""Full-Stack Developer""]",auto,2026-06-07,2026-06-07
Penality LLC (f/k/a nowGRC LLC),LLC,541512,,Frisco,TX,75033,1,,,[],true,low,"[""ServiceNow IT Operations Management Lead""]",auto,2026-06-07,2026-06-07
"Dialexa, LLC",LLC,541511,,Dallas,TX,75201,1,,,[],true,low,"[""Software Technical Lead""]",auto,2026-06-07,2026-06-07
"Animo Services, LLC",LLC,541511,,Dallas,TX,75231,1,,,[],true,low,"[""Banking Sales & Operations Executive""]",auto,2026-06-07,2026-06-07
"Trust Infosys, LLC",LLC,541512,,Austin,TX,78750,1,,,[],true,low,"[""Software Engineer""]",auto,2026-06-07,2026-06-07
Jenforce LLC,LLC,541511,,McKinney,TX,75070,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
Pyrolac LLC,LLC,541512,,Houston,TX,77060,1,,,[],true,low,"[""Information Analyst""]",auto,2026-06-07,2026-06-07
AWNSolution LLC,LLC,541511,,Princeton,TX,08540,1,,,[],true,low,"[""SAP Functional Consultant""]",auto,2026-06-07,2026-06-07
ALLURTECH LLC,LLC,541511,,Frisco,TX,75035,1,,,[],true,low,"[""Software Engineer""]",auto,2026-06-07,2026-06-07
Narsingh LLC,LLC,541513,,Irving,TX,75063,1,,,[],true,low,"[""Software Engineer""]",auto,2026-06-07,2026-06-07
Tech Expertsus LLC,LLC,511210,,Irving,TX,75063,1,,,[],true,low,"[""Cloud Infrastructure Architect""]",auto,2026-06-07,2026-06-07
KITKOOL GROUP LLC,LLC,541511,,FULSHEAR,TX,77441,1,,,[],true,low,"[""AUTOMATION TEST ENGINEER""]",auto,2026-06-07,2026-06-07
Techminers LLC,LLC,541511,,McKinney,TX,75071,1,,,[],true,low,"[""SAP Consultant""]",auto,2026-06-07,2026-06-07
Edison Systems Group LLC,LLC,541512,,Frisco,TX,75034,1,,,[],true,low,"[""Web Application Developer""]",auto,2026-06-07,2026-06-07
Portnox Security LLC,LLC,511210,,Austin,TX,78735,1,,,[],true,low,"[""VP of Finance""]",auto,2026-06-07,2026-06-07
ADROIT AFFINE LLC,LLC,54151,,PHOENIX,TX,85027,1,,,[],true,low,"[""Software Engineer""]",auto,2026-06-07,2026-06-07
CodeneedsIT LLC,LLC,541511,,McKinney,TX,75070,1,,,[],true,low,"[""Saleforce Developer""]",auto,2026-06-07,2026-06-07
Bhoot LLC,LLC,51821,,Austin,TX,78701,1,,,[],true,low,"[""Site Reliability Engineer""]",auto,2026-06-07,2026-06-07
Perfect General Contractors LLC,LLC,541511,,Frisco,TX,75033,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
"KINETECH CLOUD, LLC",LLC,54151,,San Antonio,TX,78216,1,,,[],true,low,"[""BUSINESS ENGINEER - INTEGRATION ARCHITECT""]",auto,2026-06-07,2026-06-07
"Ntelicor, LLC",LLC,541511,,Dallas,TX,75240,1,,,[],true,low,"[""Senior Software Developer""]",auto,2026-06-07,2026-06-07
PAGEMATICS LLC,LLC,54151,,PLANO,TX,75074,1,,,[],true,low,"[""Information Technology Analyst""]",auto,2026-06-07,2026-06-07
"ANOVO TECHNOLOGY GROUP, LLC",LLC,541511,,PLANO,TX,75024,1,,,[],true,low,"[""APPLICATION SOFTWARE ENGINEER""]",auto,2026-06-07,2026-06-07
"Voltaire Health, LLC.",LLC,541511,,Plano,TX,75024,1,,,[],true,low,"[""Open Edge System Architect""]",auto,2026-06-07,2026-06-07
"Boostlingo, LLC",LLC,518210,,Austin,TX,78701,1,,,[],true,low,"[""Product Marketing & Sales Manager""]",auto,2026-06-07,2026-06-07
"Fourth Enterprises, LLC",LLC,541519,,Austin,TX,78613,1,,,[],true,low,"[""NetSuite System Administrator and Analyst""]",auto,2026-06-07,2026-06-07
"Radix IoT, LLC",LLC,541511,,Dallas,TX,75254,1,,,[],true,low,"[""Lead Developer""]",auto,2026-06-07,2026-06-07
"Jungle Disk, LLC",LLC,541511,,San Antonio,TX,78205,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
"Headspring, LLC",LLC,541511,,Austin,TX,78704,1,,,[],true,low,"[""UX/UI DESIGNER""]",auto,2026-06-07,2026-06-07
"GATHI ANALYTICS,LLC.",LLC,541512,,Plano,TX,75024,1,,,[],true,low,"[""Sr. Data Engineer""]",auto,2026-06-07,2026-06-07
Synerzip LLC,LLC,541511,,Dallas,TX,75244,1,,,[],true,low,"[""Technical Development Manager""]",auto,2026-06-07,2026-06-07
DPCon Solutions LLC,LLC,541511,,Plano,TX,75024,1,,,[],true,low,"[""Solution Architect""]",auto,2026-06-07,2026-06-07
Pro-Shooter LLC,LLC,541512,,Houston,TX,77008,1,,,[],true,low,"[""Software Engineer""]",auto,2026-06-07,2026-06-07
Squirrels Square LLC,LLC,541511,,Frisco,TX,75035,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
"Ninja Partners, LLC",LLC,541511,,Dallas,TX,75226,1,,,[],true,low,"[""DIRECTOR OF AUTOMATION""]",auto,2026-06-07,2026-06-07
Sapientai LLC,LLC,541511,,Austin,TX,78704,1,,,[],true,low,"[""Computational Research Engineer""]",auto,2026-06-07,2026-06-07
Broadway Technology LLC,LLC,541511,,Austin,TX,78746,1,,,[],true,low,"[""Trading Application Solution Engineer""]",auto,2026-06-07,2026-06-07
"Visual BI Solutions, LLC",LLC,541511,,Plano,TX,75093,1,,,[],true,low,"[""BI Developer II""]",auto,2026-06-07,2026-06-07
"Ziosk Payroll, LLC",LLC,541519,,Dallas,TX,75251,1,,,[],true,low,"[""Senior Data Warehouse Lead""]",auto,2026-06-07,2026-06-07
Mediaocean LLC,LLC,511210,,New York,TX,10271,1,,,[],true,low,"[""Sr. QA Analyst    11773.86""]",auto,2026-06-07,2026-06-07
"Marketing Response Solutions, LLC",LLC,541511,,Dallas,TX,75244,1,,,[],true,low,"[""Senior Software Lead""]",auto,2026-06-07,2026-06-07
"Volusion, LLC",LLC,511210,,Austin,TX,78758,1,,,[],true,low,"[""Architect""]",auto,2026-06-07,2026-06-07
Rex Team DEDAP LLC,LLC,541511,,Austin,TX,78757,1,,,[],true,low,"[""Product Designer""]",auto,2026-06-07,2026-06-07
"defi Solutions DE, LLC",LLC,541511,,Westlake,TX,76262,1,,,[],true,low,"[""Software Development Engineer III""]",auto,2026-06-07,2026-06-07
INNOVATIVE STARS LLC,LLC,5415,,KATY,TX,77450,1,,,[],true,low,"[""APPLICATION DEVELOPMENT ENGINEER""]",auto,2026-06-07,2026-06-07
Zeva Technology LLC,LLC,541512,,Plano,TX,75093,1,,,[],true,low,"[""Human Resources Specialist""]",auto,2026-06-07,2026-06-07
"Line-Scape, LLC",LLC,513210,,Dallas,TX,75201,1,,,[],true,low,"[""Product Manager""]",auto,2026-06-07,2026-06-07
BuilderBinder LLC,LLC,541519,,Austin,TX,78722,1,,,[],true,low,"[""Data Analyst""]",auto,2026-06-07,2026-06-07
CPI HOLDINGS LLC,LLC,541511,,HOUSTON,TX,77068,1,,,[],true,low,"[""LEAD ENGINEERING PROGRAMMER""]",auto,2026-06-07,2026-06-07
"P Tech Crew, LLC",LLC,541512,,Allen,TX,75013,1,,,[],true,low,"[""Sr. Technical Consultant""]",auto,2026-06-07,2026-06-07
Kshitija Professional Services LLC,LLC,541511,,Dallas,TX,75247,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
"Exceleron Software, LLC",LLC,513210,,Dallas,TX,75231,1,,,[],true,low,"[""Security Analyst""]",auto,2026-06-07,2026-06-07
Exodus Intelligence LLC,LLC,541511,,Austin,TX,78703,1,,,[],true,low,"[""Mobile Research Team Lead""]",auto,2026-06-07,2026-06-07
HARTIGEN SOLUTIONS LLC,LLC,5415,,Katy,TX,77449,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
Space Cow LLC,LLC,541512,,Austin,TX,78736,1,,,[],true,low,"[""Senior Data Scientist""]",auto,2026-06-07,2026-06-07
Asite LLC,LLC,541511,,The Woodlands,TX,77381,1,,,[],true,low,"[""Professional Services Manager - North America""]",auto,2026-06-07,2026-06-07
NextGen Tech LLC,LLC,519130,,Frisco,TX,75034,1,,,[],true,low,"[""Head of Marketing""]",auto,2026-06-07,2026-06-07
"IPeople Heathcare, LLC",LLC,541511,,Lewisville,TX,75067,1,,,[],true,low,"[""SQL Developer""]",auto,2026-06-07,2026-06-07
Software Freedom Institute LLC,LLC,541511,,Houston,TX,77002,1,,,[],true,low,"[""Programmer""]",auto,2026-06-07,2026-06-07
BACKCHINA LLC,LLC,519130,,PEARLAND,TX,77584,1,,,[],true,low,"[""News Reporter""]",auto,2026-06-07,2026-06-07
HIKEIT Trak Racer LLC,LLC,541512,,Austin,TX,78752,1,,,[],true,low,"[""Chief Executive Officer""]",auto,2026-06-07,2026-06-07
Chenab Technologies LLC,LLC,541511,,Richmond,TX,77406,1,,,[],true,low,"[""Technical Architect""]",auto,2026-06-07,2026-06-07
Top Gun Blockchain LLC,LLC,518210,,Eastland,TX,76448,1,,,[],true,low,"[""Head of Technical Operations""]",auto,2026-06-07,2026-06-07
"Jatayu Solutions, LLC.",LLC,541512,,Denton,TX,76201,1,,,[],true,low,"[""Workday Human Resource Management System Consultant""]",auto,2026-06-07,2026-06-07
GLOBAL CLIENT TECHNOLOGY LLC,LLC,541511,,SUGARLAND,TX,77478,1,,,[],true,low,"[""IT Project manager/ Release Manager""]",auto,2026-06-07,2026-06-07
Gurutech Solutions LLC,LLC,541511,,Frisco,TX,75033,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
RGS IT  SOLUTIONS LLC,LLC,541511,,CROWLEY,TX,76036,1,,,[],true,low,"[""SOFTWARE DEVELOPER""]",auto,2026-06-07,2026-06-07
FreePress LLC,LLC,516210,,Austin,TX,78703,1,,,[],true,low,"[""Full Stack Engineer""]",auto,2026-06-07,2026-06-07
Power Central LLC,LLC,541511,,Richardson,TX,75082,1,,,[],true,low,"[""Database Administrator""]",auto,2026-06-07,2026-06-07
SourceHOV LLC,LLC,54151,,Irving,TX,75061,1,,,[],true,low,"[""Applications Software Developer""]",auto,2026-06-07,2026-06-07
Keypixel Software Solutions LLC,LLC,541511,,Parlin,TX,08859,1,,,[],true,low,"[""SOFTWARE DEVELOPER""]",auto,2026-06-07,2026-06-07
Ralph Porter Group LLC,LLC,541511,,Austin,TX,78704,1,,,[],true,low,"[""Management Consultant""]",auto,2026-06-07,2026-06-07
Dotsincloud LLC,LLC,541511,,Irving,TX,75063,1,,,[],true,low,"[""IT Consultant (Salesforce CRM Developer)""]",auto,2026-06-07,2026-06-07
"Executive Management Group, LLC",LLC,541511,,Southlake,TX,76092,1,,,[],true,low,"[""Full stack Developer""]",auto,2026-06-07,2026-06-07
Eleox LLC,LLC,5182,,Houston,TX,77002,1,,,[],true,low,"[""DevOps Engineer""]",auto,2026-06-07,2026-06-07
"Sports Operating, LLC",LLC,541519,,Dallas,TX,75219,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
"BGSF PROFESSIONAL, LLC",LLC,541511,,PLANO,TX,75024,1,,,[],true,low,"[""Cloud Application Architect""]",auto,2026-06-07,2026-06-07
iSphere Innovation Partners LLC,LLC,5415,,Houston,TX,77060,1,,,[],true,low,"[""Sr. SAP Analyst""]",auto,2026-06-07,2026-06-07
WELKIN TECHNOLOGIES LLC,LLC,541511,,Alpharetta,TX,30005,1,,,[],true,low,"[""Software Developers""]",auto,2026-06-07,2026-06-07
Inflection Point LLC,LLC,518210,,76006,TX,76006,1,,,[],true,low,"[""Senior Accountant""]",auto,2026-06-07,2026-06-07
"Timbergrove Solutions, LLC",LLC,541512,,Houston,TX,77003,1,,,[],true,low,"[""Principal Digital Transformation Project Engineer""]",auto,2026-06-07,2026-06-07
IT SOLVE LLC,LLC,541511,,RICHARDSON,TX,75080,1,,,[],true,low,"[""Data Engineer""]",auto,2026-06-07,2026-06-07
Virtue Serve LLC,LLC,541511,,Irving,TX,75063,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
Sprint Byte Technologies LLC,LLC,541512,,leander,TX,78641,1,,,[],true,low,"[""Data Analyst""]",auto,2026-06-07,2026-06-07
Sailpro LLC,LLC,541511,,Plano,TX,75024,1,,,[],true,low,"[""Data Engineer""]",auto,2026-06-07,2026-06-07
Infinity Software LLC,LLC,541511,,Frisco,TX,75035,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
ActiveTech IT Solutions LLC,LLC,541511,,Denton,TX,76205,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
KVISTA LLC,LLC,541511,,Leander,TX,78641,1,,,[],true,low,"[""Cloud Developer""]",auto,2026-06-07,2026-06-07
VSSIQ Solutions LLC,LLC,541511,,Leander,TX,78641,1,,,[],true,low,"[""Project Manager""]",auto,2026-06-07,2026-06-07
KENAI SOLUTIONS LLC,LLC,541511,,DALLAS,TX,75240,1,,,[],true,low,"[""DATA SCIENTIST""]",auto,2026-06-07,2026-06-07
Innovate TechLabs LLC,LLC,541511,,Coppell,TX,75019,1,,,[],true,low,"[""Software Engineer""]",auto,2026-06-07,2026-06-07
Connexa Technologies LLC,LLC,541511,,Austin,TX,78735,1,,,[],true,low,"[""Business Solutions Architect""]",auto,2026-06-07,2026-06-07
ABSOLUTE FABRICATION LLC,LLC,541511,,Houston,TX,77020,1,,,[],true,low,"[""PRODUCTION ENGINEER""]",auto,2026-06-07,2026-06-07
"Particle41, LLC.",LLC,541511,,Frisco,TX,75068,1,,,[],true,low,"[""Lead Software Engineer""]",auto,2026-06-07,2026-06-07
"Devwise, LLC",LLC,541511,,Houston,TX,77094,1,,,[],true,low,"[""Sr Stibo Solution Architect""]",auto,2026-06-07,2026-06-07
"Liberate Life Sciences Technologies, LLC.",LLC,541512,,Austin,TX,78717,1,,,[],true,low,"[""Validation Engineer""]",auto,2026-06-07,2026-06-07
Admirable Technologies LLC,LLC,541511,,Round Rock,TX,78664,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
"Math Made Visible, LLC",LLC,513210,,Paige,TX,78659,1,,,[],true,low,"[""Learning Research and Design Specialist""]",auto,2026-06-07,2026-06-07
SignalPet LLC,LLC,54151,,Dallas,TX,75240,1,,,[],true,low,"[""Customer Success Manager""]",auto,2026-06-07,2026-06-07
"Event Dynamic, LLC",LLC,541519,,Dallas,TX,75219,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
"Iodine Software, LLC",LLC,541512,,Austin,TX,78731-3201,1,,,[],true,low,"[""Senior Software Development Engineer in Test""]",auto,2026-06-07,2026-06-07
Simplifi Holdings LLC,LLC,51321,,Fort Worth,TX,76164,1,,,[],true,low,"[""Data Engineer""]",auto,2026-06-07,2026-06-07
Litigiven LLC,LLC,513210,,Dallas,TX,75251,1,,,[],true,low,"[""Mid-Level UI Designer""]",auto,2026-06-07,2026-06-07
Database Mart LLC,LLC,518210,,League City,TX,77573,1,,,[],true,low,"[""Data Scientist""]",auto,2026-06-07,2026-06-07
"Claims-X-Change, LLC",LLC,541511,,Dallas,TX,75244,1,,,[],true,low,"[""Senior Compliance Analyst""]",auto,2026-06-07,2026-06-07
Miracle Treasures LLC,LLC,541511,,Fulshear,TX,77441,1,,,[],true,low,"[""SAP Project Systems Consultant""]",auto,2026-06-07,2026-06-07
Worldtech IT LLC,LLC,541512,,Austin,TX,78702,1,,,[],true,low,"[""ADC Engineer""]",auto,2026-06-07,2026-06-07
Meat Mafia Media LLC,LLC,516210,,Austin,TX,78748,1,,,[],true,low,"[""Head of Podcast & Media Production""]",auto,2026-06-07,2026-06-07
Sharpwhiz Corporation LLC,LLC,541511,,Austin,TX,78731,1,,,[],true,low,"[""Devops Engineer""]",auto,2026-06-07,2026-06-07
AIWEBIT LLC,LLC,541511,,Plano,TX,75093,1,,,[],true,low,"[""BizOps Enginner""]",auto,2026-06-07,2026-06-07
VGTS LLC,LLC,54151,,Frisco,TX,75036,1,,,[],true,low,"[""Senior Consultant""]",auto,2026-06-07,2026-06-07
FORTEWIZ SYSTEMS LLC,LLC,541511,,Katy,TX,77450,1,,,[],true,low,"[""WEB DEVELOPER""]",auto,2026-06-07,2026-06-07
DATA FORCE  - INC LLC,LLC,541511,,DALLAS,TX,75252,1,,,[],true,low,"[""SYSTEMS ENGINEER""]",auto,2026-06-07,2026-06-07
"LedgerSpace, LLC",LLC,518210,,COLLEGE STATION,TX,77845,1,,,[],true,low,"[""Software Engineer""]",auto,2026-06-07,2026-06-07
Verittsoft LLC,LLC,541511,,Frisco,TX,75035,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
ADAPTRA LLC,LLC,541511,,Irving,TX,75038,1,,,[],true,low,"[""Business Analyst""]",auto,2026-06-07,2026-06-07
"TowWorks, LLC",LLC,541511,,Houston,TX,77007,1,,,[],true,low,"[""Junior Software Developer""]",auto,2026-06-07,2026-06-07
AZORY TECH LLC,LLC,541511,,"Irving,",TX,75062,1,,,[],true,low,"[""FULL STACK JAVA/J2EE DEVELOPER""]",auto,2026-06-07,2026-06-07
FORTUNE FOUR TECH SOLUTIONS LLC,LLC,541511,,Frisco,TX,75035,1,,,[],true,low,"[""Senior Development  Engineer""]",auto,2026-06-07,2026-06-07
Ellym LLC,LLC,541511,,Austin,TX,78731,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
INFOBLITZ TECH SOLUTIONS LLC,LLC,541511,,AUSTIN,TX,78731,1,,,[],true,low,"[""Finance Analyst""]",auto,2026-06-07,2026-06-07
SOCIUS INNOVATIVE GLOBAL BRAINS LLC,LLC,518210,,HOUSTON,TX,77074,1,,,[],true,low,"[""CHIEF OPERATIONS OFFICER""]",auto,2026-06-07,2026-06-07
STEPINSIGHT LLC,LLC,541511,,Austin,TX,78731,1,,,[],true,low,"[""Project Manager""]",auto,2026-06-07,2026-06-07
Arka Services LLC,LLC,541511,,Round Rock,TX,78664,1,,,[],true,low,"[""DevOps Engineer""]",auto,2026-06-07,2026-06-07
Aspire Digital LLC,LLC,541512,,Austin,TX,78759,1,,,[],true,low,"[""Computer Programmer""]",auto,2026-06-07,2026-06-07
Datalibs LLC,LLC,541512,,Dallas,TX,75252,1,,,[],true,low,"[""System Engineer""]",auto,2026-06-07,2026-06-07
"aMind Solutions, LLC d.b.a. ArganoaMind",LLC,541511,,Plano,TX,75093,1,,,[],true,low,"[""Sr Technical Consultant""]",auto,2026-06-07,2026-06-07
SREELAN LLC,LLC,541511,,Frisco,TX,75035,1,,,[],true,low,"[""Business intelligence Analyst""]",auto,2026-06-07,2026-06-07
Go Idlewild LLC,LLC,5415,,Flower Mound,TX,75022,1,,,[],true,low,"[""IT Analyst""]",auto,2026-06-07,2026-06-07
"ILM360, LLC",LLC,541511,,ROUND ROCK,TX,78681,1,,,[],true,low,"[""SOFTWARE DEVELOPER""]",auto,2026-06-07,2026-06-07
TSICOM LLC,LLC,541512,,Houston,TX,77079,1,,,[],true,low,"[""Chief Operations Officer""]",auto,2026-06-07,2026-06-07
ALICE TECH SOLUTIONSLLC,LLC,541511,,IRVING,TX,75062,1,,,[],true,low,"[""CLOUD ENGINEER""]",auto,2026-06-07,2026-06-07
AGI FLUX LLC,LLC,541511,,Dallas,TX,75240,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
Chain Service Solutions LLC,LLC,541511,,Houston,TX,77042,1,,,[],true,low,"[""Software Engineer""]",auto,2026-06-07,2026-06-07
Barrage Systems LLC,LLC,541513,,Hurst,TX,76054,1,,,[],true,low,"[""ServiceNow RPA Developer Lead""]",auto,2026-06-07,2026-06-07
Zionzest LLC,LLC,541512,,Lewisville,TX,75056,1,,,[],true,low,"[""iOS Developer""]",auto,2026-06-07,2026-06-07
Intelli-Inform LLC,LLC,541511,,Flower Mound,TX,75077,1,,,[],true,low,"[""Software Engineer - ERP Solutions""]",auto,2026-06-07,2026-06-07
"NUBA, LLC",LLC,541511,,El Paso,TX,79922,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
Price Kubecka PLLC,LLC,54151,,Addison,TX,75001,1,,,[],true,low,"[""Tax Senior""]",auto,2026-06-07,2026-06-07
Solutions by Text LLC,LLC,541511,,Addison,TX,75001,1,,,[],true,low,"[""Senior Software Lead""]",auto,2026-06-07,2026-06-07
Holistiplan LLC,LLC,513210,,College Station,TX,77845,1,,,[],true,low,"[""Senior Product Marketing Manager""]",auto,2026-06-07,2026-06-07
SKOUTERA LLC,LLC,541511,,COPPELL,TX,75019,1,,,[],true,low,"[""System Level Test Engineer""]",auto,2026-06-07,2026-06-07
VIVERE SYSTEMS LLC,LLC,541511,,Frisco,TX,75035,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
C2A Global IT SolutionsLLC,LLC,541511,,Austin,TX,78752,1,,,[],true,low,"[""Software Quality Assurance Analyst and Tester""]",auto,2026-06-07,2026-06-07
REPAVE IT LLC,LLC,541511,,Frisco,TX,75034,1,,,[],true,low,"[""Systems Engineer""]",auto,2026-06-07,2026-06-07
Bonterra Tech LLC,LLC,513210,,Austin,TX,78759,1,,,[],true,low,"[""Reporting Solution Consultant""]",auto,2026-06-07,2026-06-07
