name,entity_type,city,state,zip,naics_code,lca_filing_count,in_target_band,size_confidence,review_status
AIWEBIT LLC,LLC,Plano,TX,75093,541511,1,true,low,auto
ALICE TECH SOLUTIONSLLC,LLC,IRVING,TX,75062,541511,1,true,low,auto
ALLURTECH LLC,LLC,Frisco,TX,75035,541511,1,true,low,auto
"ANOVO TECHNOLOGY GROUP, LLC",LLC,PLANO,TX,75024,541511,1,true,low,auto
AWNSolution LLC,LLC,Princeton,TX,08540,541511,1,true,low,auto
AZORY TECH LLC,LLC,"Irving,",TX,75062,541511,1,true,low,auto
ActiveTech IT Solutions LLC,LLC,Denton,TX,76205,541511,1,true,low,auto
Admirable Technologies LLC,LLC,Round Rock,TX,78664,541511,1,true,low,auto
"Advanced Traffic Solutions, LLC",LLC,Katy,TX,77494-7159,541511,1,true,low,auto
All Calendars LLC,LLC,North Richland Hills,TX,76180,518210,1,true,low,auto
Alpha Cognition LLC,LLC,Austin,TX,78753,541511,1,true,low,auto
"Animo Services, LLC",LLC,Dallas,TX,75231,541511,1,true,low,auto
Anion Marketing LLC,LLC,Frisco,TX,75033,541511,1,true,low,auto
"Apis Business Intelligence, LLC",LLC,Plano,TX,75024,541512,1,true,low,auto
Argus Partners LLC,LLC,Fort Worth,TX,76155,541511,1,true,low,auto
Arise Soft LLC,LLC,Plano,TX,75024,541511,1,true,low,auto
Arka Services LLC,LLC,Round Rock,TX,78664,541511,1,true,low,auto
Artigence Tech Solutions LLC,LLC,Garland,TX,75041,541511,1,true,low,auto
Asite LLC,LLC,The Woodlands,TX,77381,541511,1,true,low,auto
Aspire Digital LLC,LLC,Austin,TX,78759,541512,1,true,low,auto
Athletically LLC,LLC,Austin,TX,78756,541511,1,true,low,auto
"Austin Arc,LLC.",LLC,Austin,TX,78731,541511,1,true,low,auto
Avaro Group LLC,LLC,Houston,TX,77063,541512,1,true,low,auto
BACKCHINA LLC,LLC,PEARLAND,TX,77584,519130,1,true,low,auto
"BGSF PROFESSIONAL, LLC",LLC,PLANO,TX,75024,541511,1,true,low,auto
Barrage Systems LLC,LLC,Hurst,TX,76054,541513,1,true,low,auto
Bellatrix Systems LLC,LLC,Houston,TX,77043,541511,1,true,low,auto
Bhoot LLC,LLC,Austin,TX,78701,51821,1,true,low,auto
BigNorTek LLC,LLC,Dallas,TX,75254,541511,1,true,low,auto
"Bonjoy, LLC",LLC,The Woodlands,TX,77380,541512,1,true,low,auto
Bonterra Tech LLC,LLC,Austin,TX,78759,513210,1,true,low,auto
"Boostlingo, LLC",LLC,Austin,TX,78701,518210,1,true,low,auto
"BrainWaves Digital, LLC",LLC,Austin,TX,78737,541519,1,true,low,auto
Breaker19 Logistics LLC,LLC,Houston,TX,77043,541512,1,true,low,auto
Broadway Technology LLC,LLC,Austin,TX,78746,541511,1,true,low,auto
BuilderBinder LLC,LLC,Austin,TX,78722,541519,1,true,low,auto
C COM DIGITAL LLC,LLC,MCKINNEY,TX,75070,541511,1,true,low,auto
C2A Global IT SolutionsLLC,LLC,Austin,TX,78752,541511,1,true,low,auto
CLOUDTEK DATA LLC,LLC,Round Rock,TX,78664,541511,1,true,low,auto
COHESIVE DIGITAL SOLUTIONS LLC,LLC,Allen,TX,75013,541511,1,true,low,auto
COREAA LLC,LLC,The Woodlands,TX,77382,541519,1,true,low,auto
CPI HOLDINGS LLC,LLC,HOUSTON,TX,77068,541511,1,true,low,auto
"CRM Web Solutions, LLC",LLC,Addison,TX,75001,513210,1,true,low,auto
CYBIRIUS LLC,LLC,Carrollton,TX,75007,541519,1,true,low,auto
Capella Software LLC,LLC,Cypress,TX,77429-3952,541512,1,true,low,auto
"Careexpand, LLC",LLC,Dallas,TX,75254,511210,1,true,low,auto
Chain Service Solutions LLC,LLC,Houston,TX,77042,541511,1,true,low,auto
Chenab Technologies LLC,LLC,Richmond,TX,77406,541511,1,true,low,auto
Ciphermax LLC,LLC,IRVING,TX,75062,541511,1,true,low,auto
"Claims-X-Change, LLC",LLC,Dallas,TX,75244,541511,1,true,low,auto
"Clear Again, LLC",LLC,Dallas,TX,75229,541511,1,true,low,auto
Cloudrho LLC,LLC,Frisco,TX,75034,541512,1,true,low,auto
Club Sports Solutions L.L.C.,LLC,Round Rock,TX,78665,54151,1,true,low,auto
Co-Flo Enterprise LLC,LLC,Houston,TX,77027,541511,1,true,low,auto
CodeneedsIT LLC,LLC,McKinney,TX,75070,541511,1,true,low,auto
CogentProc LLC,LLC,Mckinney,TX,75070,541519,1,true,low,auto
Conavlytics LLC,LLC,Irving,TX,75038,541511,1,true,low,auto
Connexa Technologies LLC,LLC,Austin,TX,78735,541511,1,true,low,auto
Coppel Tech LLC,LLC,Coppell,TX,75019,541512,1,true,low,auto
"Cosmosyde, LLC",LLC,Irving,TX,75063,541511,1,true,low,auto
CoverDoc LLC,LLC,austin,TX,78723,513210,1,true,low,auto
Credenti LLC,LLC,Houston,TX,77056,541511,1,true,low,auto
DATA FORCE  - INC LLC,LLC,DALLAS,TX,75252,541511,1,true,low,auto
"DDS Profits, LLC",LLC,San Antonio,TX,78213,518210,1,true,low,auto
DPCon Solutions LLC,LLC,Plano,TX,75024,541511,1,true,low,auto
Data Moguls LLC,LLC,San Antonio,TX,78217,541511,1,true,low,auto
Data Products Pro LLC,LLC,McKinney,TX,75070,541511,1,true,low,auto
DataGlacier LLC,LLC,Cedar Park,TX,78613,541511,1,true,low,auto
"Databasaurus, LLC",LLC,Riesel,TX,76682,518210,1,true,low,auto
Database Mart LLC,LLC,League City,TX,77573,518210,1,true,low,auto
Datalibs LLC,LLC,Dallas,TX,75252,541512,1,true,low,auto
"Dealerware, LLC",LLC,Austin,TX,78701,513210,1,true,low,auto
Dear Media LLC,LLC,Austin,TX,78701,516210,1,true,low,auto
Denim Health LLC,LLC,"Austin,",TX,78758,541511,1,true,low,auto
"Devwise, LLC",LLC,Houston,TX,77094,541511,1,true,low,auto
"Dialexa, LLC",LLC,Dallas,TX,75201,541511,1,true,low,auto
Digital Information Security Solutions LLC,LLC,San Antonio,TX,78261,541519,1,true,low,auto
Dixson Technology Services Americas LLC,LLC,Austin,TX,78701,541512,1,true,low,auto
Dotsincloud LLC,LLC,Irving,TX,75063,541511,1,true,low,auto
Droidal LLC,LLC,Plano,TX,75024,541511,1,true,low,auto
Duelytics LLC,LLC,Irving,TX,75062,541511,1,true,low,auto
"ELM FieldSight, LLC",LLC,Lewisville,TX,75056,541512,1,true,low,auto
ENMAS USA LLC,LLC,The Woodlands,TX,77380,541512,1,true,low,auto
Echo & Reply LLC,LLC,Katy,TX,77494,541511,1,true,low,auto
Edison Systems Group LLC,LLC,Frisco,TX,75034,541512,1,true,low,auto
Eleox LLC,LLC,Houston,TX,77002,5182,1,true,low,auto
Ellym LLC,LLC,Austin,TX,78731,541511,1,true,low,auto
"Enter Advisor, LLC",LLC,Addison,TX,75001,541511,1,true,low,auto
"Event Dynamic, LLC",LLC,Dallas,TX,75219,541519,1,true,low,auto
EverLine Tech Ops LLC,LLC,Houston,TX,77034,541512,1,true,low,auto
"Exceleron Software, LLC",LLC,Dallas,TX,75231,513210,1,true,low,auto
"Executive Management Group, LLC",LLC,Southlake,TX,76092,541511,1,true,low,auto
Exodus Intelligence LLC,LLC,Austin,TX,78703,541511,1,true,low,auto
FAME PBX LLC,LLC,Plano,TX,75023,51821,1,true,low,auto
FORTEWIZ SYSTEMS LLC,LLC,Katy,TX,77450,541511,1,true,low,auto
FORTUNE FOUR TECH SOLUTIONS LLC,LLC,Frisco,TX,75035,541511,1,true,low,auto
Finovient LLC,LLC,Wylie,TX,75098,541519,1,true,low,auto
"Fourth Enterprises, LLC",LLC,Austin,TX,78613,541519,1,true,low,auto
FreePress LLC,LLC,Austin,TX,78703,516210,1,true,low,auto
"GATHI ANALYTICS,LLC.",LLC,Plano,TX,75024,541512,1,true,low,auto
GLOBAL CLIENT TECHNOLOGY LLC,LLC,SUGARLAND,TX,77478,541511,1,true,low,auto
GLOBPEY LLC,LLC,Plano,TX,75093,541511,1,true,low,auto
GME Entertainment LLC,LLC,Grapevine,TX,76051,511210,1,true,low,auto
GMWARE LLC,LLC,Austin,TX,78731,541511,1,true,low,auto
GOTHINKERS TECH LLC,LLC,Plano,TX,75023,541511,1,true,low,auto
GRAVITYINTEL LLC,LLC,Mckinney,TX,75072,541511,1,true,low,auto
Genesis X LLC,LLC,Austin,TX,78704,541511,1,true,low,auto
"GeoSoftware, LLC",LLC,Houston,TX,77042,541512,1,true,low,auto
"GlobalStep Management Services, LLC",LLC,Dallas,TX,75225,541511,1,true,low,auto
Go Idlewild LLC,LLC,Flower Mound,TX,75022,5415,1,true,low,auto
"Golden Section Ventures, LLC",LLC,Houston,TX,77002,5415,1,true,low,auto
Groove Jones LLC,LLC,Dallas,TX,75226,54151,1,true,low,auto
Groves & Company LLC,LLC,Austin,TX,78731,541511,1,true,low,auto
Gurutech Solutions LLC,LLC,Frisco,TX,75033,541511,1,true,low,auto
HARTIGEN SOLUTIONS LLC,LLC,Katy,TX,77449,5415,1,true,low,auto
HIKEIT Trak Racer LLC,LLC,Austin,TX,78752,541512,1,true,low,auto
"Headspring, LLC",LLC,Austin,TX,78704,541511,1,true,low,auto
HiTek US LLC,LLC,Sugar Land,TX,77479,541511,1,true,low,auto
Holistiplan LLC,LLC,College Station,TX,77845,513210,1,true,low,auto
Hotel Trader LLC,LLC,Irving,TX,75062,541511,1,true,low,auto
"ILM360, LLC",LLC,ROUND ROCK,TX,78681,541511,1,true,low,auto
INFOBLITZ TECH SOLUTIONS LLC,LLC,AUSTIN,TX,78731,541511,1,true,low,auto
INNOVATIVE STARS LLC,LLC,KATY,TX,77450,5415,1,true,low,auto
INTERACT CX LLC,LLC,LEWSIVILLE,TX,75056,541519,1,true,low,auto
"IPeople Heathcare, LLC",LLC,Lewisville,TX,75067,541511,1,true,low,auto
IT SOLVE LLC,LLC,RICHARDSON,TX,75080,541511,1,true,low,auto
"Ideabud, LLC",LLC,Austin,TX,78705,511210,1,true,low,auto
"Improving Corporate Services, LLC",LLC,Plano,TX,75024,541511,1,true,low,auto
"Improvizations, LLC",LLC,Austin,TX,78741,541512,1,true,low,auto
Increase Financial LLC,LLC,Missouri City,TX,77459,518210,1,true,low,auto
Infinity Software LLC,LLC,Frisco,TX,75035,541511,1,true,low,auto
Inflection Point LLC,LLC,76006,TX,76006,518210,1,true,low,auto
Infoglaze LLC,LLC,Katy,TX,77494,541512,1,true,low,auto
Innovate TechLabs LLC,LLC,Coppell,TX,75019,541511,1,true,low,auto
Innoventworks LLC,LLC,Frisco,TX,75036,541511,1,true,low,auto
"Insurance Technologies, LLC",LLC,Dallas,TX,75208,541511,1,true,low,auto
Intelli-Inform LLC,LLC,Flower Mound,TX,75077,541511,1,true,low,auto
"Iodine Software, LLC",LLC,Austin,TX,78731-3201,541512,1,true,low,auto
JCIP SERVICES LLC,LLC,Richmond,TX,77407,518210,1,true,low,auto
JENACIE LLC,LLC,Houston,TX,77064,5132,1,true,low,auto
JSRM Group LLC,LLC,San Antonio,TX,78216,541511,1,true,low,auto
"Jatayu Solutions, LLC.",LLC,Denton,TX,76201,541512,1,true,low,auto
Jenforce LLC,LLC,McKinney,TX,75070,541511,1,true,low,auto
"Jungle Disk, LLC",LLC,San Antonio,TX,78205,541511,1,true,low,auto
KENAI SOLUTIONS LLC,LLC,DALLAS,TX,75240,541511,1,true,low,auto
"KINETECH CLOUD, LLC",LLC,San Antonio,TX,78216,54151,1,true,low,auto
KINETIKATECH  LLC,LLC,CARTHAGE,TX,75633,541511,1,true,low,auto
KITKOOL GROUP LLC,LLC,FULSHEAR,TX,77441,541511,1,true,low,auto
KVISTA LLC,LLC,Leander,TX,78641,541511,1,true,low,auto
Kaizintel LLC,LLC,Katy,TX,77493,54151,1,true,low,auto
Kanika Compute LLC,LLC,West Lake Hills,TX,78746,541511,1,true,low,auto
Keypixel Software Solutions LLC,LLC,Parlin,TX,08859,541511,1,true,low,auto
Kshitija Professional Services LLC,LLC,Dallas,TX,75247,541511,1,true,low,auto
"Kuiper OpCo, LLC",LLC,Austin,TX,78701,541511,1,true,low,auto
Kural Tech Solution LLC,LLC,Plano,TX,75025,541511,1,true,low,auto
"LENDERBOX, LLC",LLC,DALLAS,TX,75206,5415,1,true,low,auto
LIAMATRIX LLC,LLC,Houston,TX,77066,541512,1,true,low,auto
"LINQX, LLC",LLC,Houston,TX,77042,541511,1,true,low,auto
"LedgerSpace, LLC",LLC,COLLEGE STATION,TX,77845,518210,1,true,low,auto
"Liberate Life Sciences Technologies, LLC.",LLC,Austin,TX,78717,541512,1,true,low,auto
"Line-Scape, LLC",LLC,Dallas,TX,75201,513210,1,true,low,auto
Litigiven LLC,LLC,Dallas,TX,75251,513210,1,true,low,auto
"Lone Star Tech, LLC",LLC,Keller,TX,76244,541519,1,true,low,auto
Lorvens AZTech LLC,LLC,Aubrey,TX,76227,541511,1,true,low,auto
MASH ASSOCIATES LLC,LLC,Dallas,TX,75063,541511,1,true,low,auto
Manvi Tech LLC,LLC,Spring,TX,77373,51121,1,true,low,auto
"Marketing Response Solutions, LLC",LLC,Dallas,TX,75244,541511,1,true,low,auto
"Math Made Visible, LLC",LLC,Paige,TX,78659,513210,1,true,low,auto
Meat Mafia Media LLC,LLC,Austin,TX,78748,516210,1,true,low,auto
Mediaocean LLC,LLC,New York,TX,10271,511210,1,true,low,auto
Menbo Tech LLC,LLC,Plano,TX,75093,541511,1,true,low,auto
Micro Focus LLC,LLC,Plano,TX,75024,541519,1,true,low,auto
Microdrive LLC,LLC,Irving,TX,75062,541511,1,true,low,auto
"MinMax Technologies, LLC",LLC,Dallas,TX,75254,541511,1,true,low,auto
Miracle Treasures LLC,LLC,Fulshear,TX,77441,541511,1,true,low,auto
"Molathati Technology Solutions, LLC",LLC,Houston,TX,77092,541511,1,true,low,auto
NEOSTRIDE LLC,LLC,Allen,TX,75013,541511,1,true,low,auto
NFORCE ONE LLC,LLC,PLANO,TX,75024-3583,541511,1,true,low,auto
NP Strategies LLC,LLC,McKinney,TX,75069,513210,1,true,low,auto
"NUBA, LLC",LLC,El Paso,TX,79922,541511,1,true,low,auto
Narsingh LLC,LLC,Irving,TX,75063,541513,1,true,low,auto
NextGen Tech LLC,LLC,Frisco,TX,75034,519130,1,true,low,auto
Nexxverse LLC,LLC,Dallas,TX,75219,541511,1,true,low,auto
Nifty Systems LLC,LLC,Plano,TX,75024,541511,1,true,low,auto
"Ninja Partners, LLC",LLC,Dallas,TX,75226,541511,1,true,low,auto
"Ntelicor, LLC",LLC,Dallas,TX,75240,541511,1,true,low,auto
Numerique LLC,LLC,Dallas,TX,75243,541511,1,true,low,auto
OUTLAY GLOBAL LLC,LLC,IRVING,TX,75039,541511,1,true,low,auto
"OfficerTRAK, LLC",LLC,Katy,TX,77493,513210,1,true,low,auto
"Okorio, LLC",LLC,Dallas,TX,75244,541512,1,true,low,auto
"OrderMyGear, LLC",LLC,Dallas,TX,75201,54151,1,true,low,auto
"P Tech Crew, LLC",LLC,Allen,TX,75013,541512,1,true,low,auto
PAGEMATICS LLC,LLC,PLANO,TX,75074,54151,1,true,low,auto
"Particle41, LLC.",LLC,Frisco,TX,75068,541511,1,true,low,auto
Penality LLC (f/k/a nowGRC LLC),LLC,Frisco,TX,75033,541512,1,true,low,auto
"Peppered Software, LLC",LLC,Austin,TX,78757,513210,1,true,low,auto
Perfect General Contractors LLC,LLC,Frisco,TX,75033,541511,1,true,low,auto
"Performance Scoring, LLC",LLC,Dallas,TX,75240,541519,1,true,low,auto
Phenom Enterprise Cloud LLC,LLC,Irving,TX,75038,541511,1,true,low,auto
"Physician Paradigms, LLC",LLC,Dallas,TX,75248,541511,1,true,low,auto
"Platform Software, LLC",LLC,Houston,TX,77002,541511,1,true,low,auto
Portnox Security LLC,LLC,Austin,TX,78735,511210,1,true,low,auto
Power Central LLC,LLC,Richardson,TX,75082,541511,1,true,low,auto
"Prelude, LLC",LLC,Austin,TX,78735,541511,1,true,low,auto
"Prescriptive Data Solutions, LLC",LLC,San Antonio,TX,78240,541512,1,true,low,auto
Price Kubecka PLLC,LLC,Addison,TX,75001,54151,1,true,low,auto
"Prime Bids, LLC",LLC,Pasadena,TX,77506,541511,1,true,low,auto
"Primebids, LLC",LLC,Pasadena,TX,77506,541511,1,true,low,auto
Pro-Shooter LLC,LLC,Houston,TX,77008,541512,1,true,low,auto
Prodata Strategies LLC,LLC,McKinney,TX,75070,541511,1,true,low,auto
"Profusion Tech Labs, LLC",LLC,Austin,TX,78738,541511,1,true,low,auto
Protocoding LLC,LLC,Dallas,TX,75214,541511,1,true,low,auto
"Pure Flux Technology Solutions, LLC",LLC,Spring,TX,77379,51121,1,true,low,auto
Pyrolac LLC,LLC,Houston,TX,77060,541512,1,true,low,auto
QUANTUM UNIVERSAL LLC,LLC,LEWISVILLE,TX,75067,541511,1,true,low,auto
RAYS FOOD IMPORTS LLC,LLC,Houston,TX,77041,541512,1,true,low,auto
REPAVE IT LLC,LLC,Frisco,TX,75034,541511,1,true,low,auto
RGAP LLC,LLC,Round Rock,TX,78681,541512,1,true,low,auto
RGS IT  SOLUTIONS LLC,LLC,CROWLEY,TX,76036,541511,1,true,low,auto
"Radix IoT, LLC",LLC,Dallas,TX,75254,541511,1,true,low,auto
Ralph Porter Group LLC,LLC,Austin,TX,78704,541511,1,true,low,auto
Rex Team DEDAP LLC,LLC,Austin,TX,78757,541511,1,true,low,auto
S Linx LLC,LLC,Leander,TX,78641,541511,1,true,low,auto
"SAYA SOLUTIONS PROVIDER, LLC.",LLC,HOUSTON,TX,77064,518210,1,true,low,auto
SEVIS SYSTEMS LLC.,LLC,PLANO,TX,75075,541511,1,true,low,auto
SIMPLY ACTIVATE LLC,LLC,PARK ROW,TX,77494,541519,1,true,low,auto
SKOUTERA LLC,LLC,COPPELL,TX,75019,541511,1,true,low,auto
SOCIUS INNOVATIVE GLOBAL BRAINS LLC,LLC,HOUSTON,TX,77074,518210,1,true,low,auto
SREELAN LLC,LLC,Frisco,TX,75035,541511,1,true,low,auto
STEPINSIGHT LLC,LLC,Austin,TX,78731,541511,1,true,low,auto
"STRAY KITE STUDIOS, LLC",LLC,PLANO,TX,75024,541511,1,true,low,auto
SURUG Tech LLC,LLC,Houston,TX,77064,541511,1,true,low,auto
SYAAT USA LLC,LLC,Spring,TX,77380,541512,1,true,low,auto
Sailpro LLC,LLC,Plano,TX,75024,541511,1,true,low,auto
"Salve Enterprises, LLC",LLC,Irving,TX,75063,541512,1,true,low,auto
Sapientai LLC,LLC,Austin,TX,78704,541511,1,true,low,auto
Sharpwhiz Corporation LLC,LLC,Austin,TX,78731,541511,1,true,low,auto
SignalPet LLC,LLC,Dallas,TX,75240,54151,1,true,low,auto
Simplifi Holdings LLC,LLC,Fort Worth,TX,76164,51321,1,true,low,auto
Software Freedom Institute LLC,LLC,Houston,TX,77002,541511,1,true,low,auto
Solutions by Text LLC,LLC,Addison,TX,75001,541511,1,true,low,auto
SourceHOV LLC,LLC,Irving,TX,75061,54151,1,true,low,auto
"Space Automotive, LLC",LLC,Dallas,TX,75206,541511,1,true,low,auto
Space Cow LLC,LLC,Austin,TX,78736,541512,1,true,low,auto
"Sports Operating, LLC",LLC,Dallas,TX,75219,541519,1,true,low,auto
Sprint Byte Technologies LLC,LLC,leander,TX,78641,541512,1,true,low,auto
Squirrels Square LLC,LLC,Frisco,TX,75035,541511,1,true,low,auto
Successive Technologies LLC,LLC,Coppell,TX,75019,541511,1,true,low,auto
Synerzip LLC,LLC,Dallas,TX,75244,541511,1,true,low,auto
TECH LADDER LLC,LLC,Houston,TX,77064,541511,1,true,low,auto
TEKMINDS SYSTEM LLC,LLC,MCKINNEY,TX,75070,541511,1,true,low,auto
TEXAS TECHNOLOGY GROUP LLC,LLC,DUNCANVILLE,TX,75116-4931,541511,1,true,low,auto
TSICOM LLC,LLC,Houston,TX,77079,541512,1,true,low,auto
Tangle Systems LLC,LLC,Roswell,TX,30075,541511,1,true,low,auto
Tech Expertsus LLC,LLC,Irving,TX,75063,511210,1,true,low,auto
Techdots LLC,LLC,Plano,TX,75023,54151,1,true,low,auto
Techminers LLC,LLC,McKinney,TX,75071,541511,1,true,low,auto
The Purpose Built Group LLC,LLC,Dallas,TX,75226,541511,1,true,low,auto
"The Teneo Group, LLC",LLC,Godley,TX,76044,541512,1,true,low,auto
ThinkAI Experts LLC,LLC,Frisco,TX,75034,541511,1,true,low,auto
"Timbergrove Solutions, LLC",LLC,Houston,TX,77003,541512,1,true,low,auto
Top Gun Blockchain LLC,LLC,Eastland,TX,76448,518210,1,true,low,auto
Topic Gurus LLC,LLC,Rockwall,TX,75087,511210,1,true,low,auto
"TowWorks, LLC",LLC,Houston,TX,77007,541511,1,true,low,auto
Trackme Software LLC,LLC,Allen,TX,75002,541511,1,true,low,auto
"Triple Point Technology, LLC",LLC,Houston,TX,77010,541511,1,true,low,auto
"Trust Infosys, LLC",LLC,Austin,TX,78750,541512,1,true,low,auto
Tscalar Systems LLC,LLC,Plano,TX,75025,541511,1,true,low,auto
Turtle Cloud LLC,LLC,Dallas,TX,75243,541511,1,true,low,auto
VGTS LLC,LLC,Frisco,TX,75036,54151,1,true,low,auto
