name,entity_type,naics_code,address,city,state,zip,lca_filing_count,approval_count,building_score,building_flags,in_target_band,size_confidence,job_titles,review_status,first_seen,last_seen
Sailpro LLC,LLC,541511,6010 W Spring Creek Pkwy. Ste 176,Plano,TX,75024,1,,,[],true,low,"[""Data Engineer""]",auto,2026-06-07,2026-06-07
Sprint Byte Technologies LLC,LLC,541512,137 Purple Sandpiper Ln,leander,TX,78641,1,,,[],true,low,"[""Data Analyst""]",auto,2026-06-07,2026-06-07
Virtue Serve LLC,LLC,541511,8600 Freeport Pkwy Ste 220,Irving,TX,75063,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
IT SOLVE LLC,LLC,541511,1121 HAMPSHIRE LN STE 228,RICHARDSON,TX,75080,1,,,[],true,low,"[""Data Engineer""]",auto,2026-06-07,2026-06-07
"Timbergrove Solutions, LLC",LLC,541512,3302 Canal St. Ste. 42,Houston,TX,77003,1,,,[],true,low,"[""Principal Digital Transformation Project Engineer""]",auto,2026-06-07,2026-06-07
Inflection Point LLC,LLC,518210,1905 Ascension Blvd Suite 161,76006,TX,76006,1,,,[],true,low,"[""Senior Accountant""]",auto,2026-06-07,2026-06-07
WELKIN TECHNOLOGIES LLC,LLC,541511,"4080 Mc Ginnis Ferry Rd Suite#1204",Alpharetta,TX,30005,1,,,[],true,low,"[""Software Developers""]",auto,2026-06-07,2026-06-07
iSphere Innovation Partners LLC,LLC,5415,450 North Sam Houston Parkway East Suite 125,Houston,TX,77060,1,,,[],true,low,"[""Sr. SAP Analyst""]",auto,2026-06-07,2026-06-07
"BGSF PROFESSIONAL, LLC",LLC,541511,5850 GRANITE PARKWAY,PLANO,TX,75024,1,,,[],true,low,"[""Cloud Application Architect""]",auto,2026-06-07,2026-06-07
"Sports Operating, LLC",LLC,541519,3102 Oak Lawn Ave. Suite 725,Dallas,TX,75219,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
Eleox LLC,LLC,5182,4201 Main St. Ste. 530-C,Houston,TX,77002,1,,,[],true,low,"[""DevOps Engineer""]",auto,2026-06-07,2026-06-07
"Executive Management Group, LLC",LLC,541511,1460 Main St Suite 245,Southlake,TX,76092,1,,,[],true,low,"[""Full stack Developer""]",auto,2026-06-07,2026-06-07
Dotsincloud LLC,LLC,541511,8727 Lindenwood Ln,Irving,TX,75063,1,,,[],true,low,"[""IT Consultant (Salesforce CRM Developer)""]",auto,2026-06-07,2026-06-07
Ralph Porter Group LLC,LLC,541511,2415 Durwood Street Apt. B,Austin,TX,78704,1,,,[],true,low,"[""Management Consultant""]",auto,2026-06-07,2026-06-07
Keypixel Software Solutions LLC,LLC,541511,777 Washington Road Suite 1,Parlin,TX,08859,1,,,[],true,low,"[""SOFTWARE DEVELOPER""]",auto,2026-06-07,2026-06-07
Power Central LLC,LLC,541511,3002 Owens Blvd.,Richardson,TX,75082,1,,,[],true,low,"[""Database Administrator""]",auto,2026-06-07,2026-06-07
RGS IT  SOLUTIONS LLC,LLC,541511,302 ROBIN ST,CROWLEY,TX,76036,1,,,[],true,low,"[""SOFTWARE DEVELOPER""]",auto,2026-06-07,2026-06-07
Gurutech Solutions LLC,LLC,541511,14157 Badger Creek Dr.,Frisco,TX,75033,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
GLOBAL CLIENT TECHNOLOGY LLC,LLC,541511,116 ELDRIDGE RD STE E,SUGARLAND,TX,77478,1,,,[],true,low,"[""IT Project manager/ Release Manager""]",auto,2026-06-07,2026-06-07
"Jatayu Solutions, LLC.",LLC,541512,"121 W Hickory ST Suite # 105",Denton,TX,76201,1,,,[],true,low,"[""Workday Human Resource Management System Consultant""]",auto,2026-06-07,2026-06-07
Top Gun Blockchain LLC,LLC,518210,2800 Bonham Blvd.,Eastland,TX,76448,1,,,[],true,low,"[""Head of Technical Operations""]",auto,2026-06-07,2026-06-07
Chenab Technologies LLC,LLC,541511,23407 Amoroso St,Richmond,TX,77406,1,,,[],true,low,"[""Technical Architect""]",auto,2026-06-07,2026-06-07
HIKEIT Trak Racer LLC,LLC,541512,7801 North Lamar Blvd. Suite C55,Austin,TX,78752,1,,,[],true,low,"[""Chief Executive Officer""]",auto,2026-06-07,2026-06-07
BACKCHINA LLC,LLC,519130,12234 SHADOW CREEK PKWY STE 5100,PEARLAND,TX,77584,1,,,[],true,low,"[""News Reporter""]",auto,2026-06-07,2026-06-07
Software Freedom Institute LLC,LLC,541511,1801 Main Street Suite 1000,Houston,TX,77002,1,,,[],true,low,"[""Programmer""]",auto,2026-06-07,2026-06-07
"IPeople Heathcare, LLC",LLC,541511,1760 S Stemmons Fwy Suite 180,Lewisville,TX,75067,1,,,[],true,low,"[""SQL Developer""]",auto,2026-06-07,2026-06-07
NextGen Tech LLC,LLC,519130,6775 Cowboys Way STE 1335,Frisco,TX,75034,1,,,[],true,low,"[""Head of Marketing""]",auto,2026-06-07,2026-06-07
Asite LLC,LLC,541511,1725 Hughes Landing Blvd. Flr. 11th,The Woodlands,TX,77381,1,,,[],true,low,"[""Professional Services Manager - North America""]",auto,2026-06-07,2026-06-07
Space Cow LLC,LLC,541512,8408 Selway Dr.,Austin,TX,78736,1,,,[],true,low,"[""Senior Data Scientist""]",auto,2026-06-07,2026-06-07
HARTIGEN SOLUTIONS LLC,LLC,5415,2002 W Grand Parkway N Suite 210,Katy,TX,77449,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
Exodus Intelligence LLC,LLC,541511,1608 W 6th ST,Austin,TX,78703,1,,,[],true,low,"[""Mobile Research Team Lead""]",auto,2026-06-07,2026-06-07
"Exceleron Software, LLC",LLC,513210,8144 Walnut Hill Lane STE 907,Dallas,TX,75231,1,,,[],true,low,"[""Security Analyst""]",auto,2026-06-07,2026-06-07
Kshitija Professional Services LLC,LLC,541511,8500 N Stemmons Fwy Suite 5038,Dallas,TX,75247,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
"P Tech Crew, LLC",LLC,541512,825 Watters Creek Dr. Suite 250,Allen,TX,75013,1,,,[],true,low,"[""Sr. Technical Consultant""]",auto,2026-06-07,2026-06-07
CPI HOLDINGS LLC,LLC,541511,3934 CYPRESS CREEK PKWY SUITE 205,HOUSTON,TX,77068,1,,,[],true,low,"[""LEAD ENGINEERING PROGRAMMER""]",auto,2026-06-07,2026-06-07
BuilderBinder LLC,LLC,541519,"5317 McCandless St., Austin, TX 78722",Austin,TX,78722,1,,,[],true,low,"[""Data Analyst""]",auto,2026-06-07,2026-06-07
"Line-Scape, LLC",LLC,513210,"500 N Akard Street #3700",Dallas,TX,75201,1,,,[],true,low,"[""Product Manager""]",auto,2026-06-07,2026-06-07
Penality LLC (f/k/a nowGRC LLC),LLC,541512,16380 Moss Haven Lane,Frisco,TX,75033,1,,,[],true,low,"[""ServiceNow IT Operations Management Lead""]",auto,2026-06-07,2026-06-07
Wellsite Navigator LLC,LLC,511210,1801 Main Street Suite 1300,Houston,TX,77002,1,,,[],true,low,"[""Full-Stack Developer""]",auto,2026-06-07,2026-06-07
KVISTA LLC,LLC,541511,2133 Cavara Cove,Leander,TX,78641,1,,,[],true,low,"[""Cloud Developer""]",auto,2026-06-07,2026-06-07
Groove Jones LLC,LLC,54151,"3900 Willow Street, Suite 200",Dallas,TX,75226,1,,,[],true,low,"[""Research Software Development Engineer""]",auto,2026-06-07,2026-06-07
"Careexpand, LLC",LLC,511210,14555 Dallas Pkwy. Suite 100-276,Dallas,TX,75254,1,,,[],true,low,"[""Chief Software Architect""]",auto,2026-06-07,2026-06-07
Micro Focus LLC,LLC,541519,"5340 Legacy Drive Suite# 115",Plano,TX,75024,1,,,[],true,low,"[""Presales Technical Consultant III""]",auto,2026-06-07,2026-06-07
A4 Global Tech LLC,LLC,541511,603 E Hickory Street Suite 128,Denton,TX,76205,1,,,[],true,low,"[""Senior Software Engineer""]",auto,2026-06-07,2026-06-07
"Cosmosyde, LLC",LLC,541511,8714 Newcastle Bend,Irving,TX,75063,1,,,[],true,low,"[""SAP Analyst""]",auto,2026-06-07,2026-06-07
"Enter Advisor, LLC",LLC,541511,5080 Spectrum Dr. Suite 1000E,Addison,TX,75001,1,,,[],true,low,"[""Regional Director""]",auto,2026-06-07,2026-06-07
Successive Technologies LLC,LLC,541511,606 Lake Park Drive,Coppell,TX,75019,1,,,[],true,low,"[""President""]",auto,2026-06-07,2026-06-07
"OrderMyGear, LLC",LLC,54151,2211 Commerce Street Suite 300,Dallas,TX,75201,1,,,[],true,low,"[""QA Analysis and Test Engineer""]",auto,2026-06-07,2026-06-07
Verdict IT Technologies LLC,LLC,541511,5005 W ROYAL LN STE 183F,IRVING,TX,75063,1,,,[],true,low,"[""Devops Engineer""]",auto,2026-06-07,2026-06-07
"Golden Section Ventures, LLC",LLC,5415,808 Travis St. STE 1406,Houston,TX,77002,1,,,[],true,low,"[""Public Relations Specialists""]",auto,2026-06-07,2026-06-07
"Physician Paradigms, LLC",LLC,541511,17300 Dallas Parkway Suite 3010,Dallas,TX,75248,1,,,[],true,low,"[""Software Engineer Associate""]",auto,2026-06-07,2026-06-07
EverLine Tech Ops LLC,LLC,541512,150 FM 1959 Road,Houston,TX,77034,1,,,[],true,low,"[""Computer Systems Analyst""]",auto,2026-06-07,2026-06-07
All Calendars LLC,LLC,518210,6851 NE Loop 820 Ste 200,North Richland Hills,TX,76180,1,,,[],true,low,"[""Software Developer for Applications""]",auto,2026-06-07,2026-06-07
COHESIVE DIGITAL SOLUTIONS LLC,LLC,541511,450 Century Pkwy Suite 250,Allen,TX,75013,1,,,[],true,low,"[""SOFTWARE DEVELOPER""]",auto,2026-06-07,2026-06-07
Coppel Tech LLC,LLC,541512,224 Redwood Drive,Coppell,TX,75019,1,,,[],true,low,"[""IT Project Manager""]",auto,2026-06-07,2026-06-07
Manvi Tech LLC,LLC,51121,22820 Interstate 45 Suite 7A,Spring,TX,77373,1,,,[],true,low,"[""Information Systems Analyst""]",auto,2026-06-07,2026-06-07
Data Moguls LLC,LLC,541511,8918 Tesoro Dr Suite 200 Office 202,San Antonio,TX,78217,1,,,[],true,low,"[""Salesforce Developer""]",auto,2026-06-07,2026-06-07
Numerique LLC,LLC,541511,9535 Forest Lane Suite 253,Dallas,TX,75243,1,,,[],true,low,"[""DevOps Engineer""]",auto,2026-06-07,2026-06-07
"GlobalStep Management Services, LLC",LLC,541511,"5956 Sherry Ln, Ste 1850",Dallas,TX,75225,1,,,[],true,low,"[""Chief of Staff""]",auto,2026-06-07,2026-06-07
Nifty Systems LLC,LLC,541511,"6010 W Spring Creek Pkwy #26",Plano,TX,75024,1,,,[],true,low,"[""SOFTWARE DEVELOPER""]",auto,2026-06-07,2026-06-07
Arise Soft LLC,LLC,541511,5465 Legacy Drive Suite 650/6116,Plano,TX,75024,1,,,[],true,low,"[""Senior Software Engineer""]",auto,2026-06-07,2026-06-07
"Austin Arc,LLC.",LLC,541511,7000 North MoPac Expressway Ste 200,Austin,TX,78731,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
"STRAY KITE STUDIOS, LLC",LLC,541511,8261 BELLEVIEW DR. STE. 220,PLANO,TX,75024,1,,,[],true,low,"[""Technical QA Analyst""]",auto,2026-06-07,2026-06-07
"Ideabud, LLC",LLC,511210,3300 North Interstate Hwy 35 STE 700,Austin,TX,78705,1,,,[],true,low,"[""Marketing Specialist""]",auto,2026-06-07,2026-06-07
TEKMINDS SYSTEM LLC,LLC,541511,2150 S CENTRAL EXPRESSWAY SUITE,MCKINNEY,TX,75070,1,,,[],true,low,"[""SOFTWARE ENGINEER""]",auto,2026-06-07,2026-06-07
"Space Automotive, LLC",LLC,541511,8350 N.  US 75 Central Expressway Suite 400,Dallas,TX,75206,1,,,[],true,low,"[""Lead Software Engineer""]",auto,2026-06-07,2026-06-07
KINETIKATECH  LLC,LLC,541511,5489 S US HIGHWAY 79 LOT 8,CARTHAGE,TX,75633,1,,,[],true,low,"[""SERVER ADMINISTRATOR""]",auto,2026-06-07,2026-06-07
"Verity Services, LLC",LLC,5415,1095 Evergreen Circle Suite 200,The Woodlands,TX,77380,1,,,[],true,low,"[""Imaging Support Consultant""]",auto,2026-06-07,2026-06-07
"Triple Point Technology, LLC",LLC,541511,1221 Lamar Street 500 Suite,Houston,TX,77010,1,,,[],true,low,"[""Senior Software Architect""]",auto,2026-06-07,2026-06-07
Topic Gurus LLC,LLC,511210,942 Lexington Dr,Rockwall,TX,75087,1,,,[],true,low,"[""Senior Netsuite Architect""]",auto,2026-06-07,2026-06-07
Alpha Cognition LLC,LLC,541511,1509 Gautami Dr,Austin,TX,78753,1,,,[],true,low,"[""Engineer""]",auto,2026-06-07,2026-06-07
Zinc LLC,LLC,54151,3536 Hwy 6 South Suite 158,Sugar Land,TX,77478,1,,,[],true,low,"[""Junior Systems Administrator""]",auto,2026-06-07,2026-06-07
"Pure Flux Technology Solutions, LLC",LLC,51121,1123 Bringewood Chase Dr,Spring,TX,77379,1,,,[],true,low,"[""Software Engineer""]",auto,2026-06-07,2026-06-07
Kural Tech Solution LLC,LLC,541511,3201 Mill Ridge Dr,Plano,TX,75025,1,,,[],true,low,"[""SAP Consultant - Software Developer""]",auto,2026-06-07,2026-06-07
"Molathati Technology Solutions, LLC",LLC,541511,2950 North Loop W. Suite 500,Houston,TX,77092,1,,,[],true,low,"[""Programmer Analyst""]",auto,2026-06-07,2026-06-07
Genesis X LLC,LLC,541511,801 Barton Springs Road Floor 9,Austin,TX,78704,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
Techdots LLC,LLC,54151,3400 Silverstone Dr Suite 106,Plano,TX,75023,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
"GeoSoftware, LLC",LLC,541512,2000 W. Sam Houston Pkwy S Ste. 950,Houston,TX,77042,1,,,[],true,low,"[""Software Developer - Senior""]",auto,2026-06-07,2026-06-07
"ELM FieldSight, LLC",LLC,541512,2701 E State Hwy 121 Suite 700,Lewisville,TX,75056,1,,,[],true,low,"[""Electrical Engineer""]",auto,2026-06-07,2026-06-07
GME Entertainment LLC,LLC,511210,625 Westport Parkway,Grapevine,TX,76051,1,,,[],true,low,"[""VP of Engineering, Blockchain""]",auto,2026-06-07,2026-06-07
ADROIT AFFINE LLC,LLC,54151,21640 N 19TH AVENUE SUITE C4,PHOENIX,TX,85027,1,,,[],true,low,"[""Software Engineer""]",auto,2026-06-07,2026-06-07
Portnox Security LLC,LLC,511210,5301 Southwest Parkway Suite 470,Austin,TX,78735,1,,,[],true,low,"[""VP of Finance""]",auto,2026-06-07,2026-06-07
Zeva Technology LLC,LLC,541512,5068 W. Plano Parkway Suite 145,Plano,TX,75093,1,,,[],true,low,"[""Human Resources Specialist""]",auto,2026-06-07,2026-06-07
ALLURTECH LLC,LLC,541511,13345 Marmolada Dr,Frisco,TX,75035,1,,,[],true,low,"[""Software Engineer""]",auto,2026-06-07,2026-06-07
Narsingh LLC,LLC,541513,250 East Valley Ranch Park Way Suite 1350,Irving,TX,75063,1,,,[],true,low,"[""Software Engineer""]",auto,2026-06-07,2026-06-07
Tech Expertsus LLC,LLC,511210,7228 Ridgepoint Dr,Irving,TX,75063,1,,,[],true,low,"[""Cloud Infrastructure Architect""]",auto,2026-06-07,2026-06-07
KITKOOL GROUP LLC,LLC,541511,28515 CASEN RANCH LN,FULSHEAR,TX,77441,1,,,[],true,low,"[""AUTOMATION TEST ENGINEER""]",auto,2026-06-07,2026-06-07
Edison Systems Group LLC,LLC,541512,3839 Covedale Blvd,Frisco,TX,75034,1,,,[],true,low,"[""Web Application Developer""]",auto,2026-06-07,2026-06-07
"Trust Infosys, LLC",LLC,541512,"13740 Research Blvd., Suite O-2",Austin,TX,78750,1,,,[],true,low,"[""Software Engineer""]",auto,2026-06-07,2026-06-07
"Dialexa, LLC",LLC,541511,2200 Commerce Street,Dallas,TX,75201,1,,,[],true,low,"[""Software Technical Lead""]",auto,2026-06-07,2026-06-07
Broadway Technology LLC,LLC,541511,5000 Plaza on the Lake Suite 250,Austin,TX,78746,1,,,[],true,low,"[""Trading Application Solution Engineer""]",auto,2026-06-07,2026-06-07
INNOVATIVE STARS LLC,LLC,5415,633 E FERNHURST DR STE 1001,KATY,TX,77450,1,,,[],true,low,"[""APPLICATION DEVELOPMENT ENGINEER""]",auto,2026-06-07,2026-06-07
"defi Solutions DE, LLC",LLC,541511,1500 Solana Blvd. Ste 6400,Westlake,TX,76262,1,,,[],true,low,"[""Software Development Engineer III""]",auto,2026-06-07,2026-06-07
Rex Team DEDAP LLC,LLC,541511,"7421 Burnet Road #548",Austin,TX,78757,1,,,[],true,low,"[""Product Designer""]",auto,2026-06-07,2026-06-07
"Volusion, LLC",LLC,511210,1825-B Kramer Lane Ste. 100,Austin,TX,78758,1,,,[],true,low,"[""Architect""]",auto,2026-06-07,2026-06-07
"Marketing Response Solutions, LLC",LLC,541511,5001 Spring Valley Road Suite 1000E,Dallas,TX,75244,1,,,[],true,low,"[""Senior Software Lead""]",auto,2026-06-07,2026-06-07
Mediaocean LLC,LLC,511210,"120 Broadway, 8th Floor",New York,TX,10271,1,,,[],true,low,"[""Sr. QA Analyst    11773.86""]",auto,2026-06-07,2026-06-07
"Ziosk Payroll, LLC",LLC,541519,12404 Park Central Drive Suite 350,Dallas,TX,75251,1,,,[],true,low,"[""Senior Data Warehouse Lead""]",auto,2026-06-07,2026-06-07
"Visual BI Solutions, LLC",LLC,541511,5920 Windhaven Parkway,Plano,TX,75093,1,,,[],true,low,"[""BI Developer II""]",auto,2026-06-07,2026-06-07
"Animo Services, LLC",LLC,541511,10000 N Central Expressway Suite 1300,Dallas,TX,75231,1,,,[],true,low,"[""Banking Sales & Operations Executive""]",auto,2026-06-07,2026-06-07
Sapientai LLC,LLC,541511,2008 Holland Ave Unit B,Austin,TX,78704,1,,,[],true,low,"[""Computational Research Engineer""]",auto,2026-06-07,2026-06-07
"Ninja Partners, LLC",LLC,541511,3800 Taylor Street,Dallas,TX,75226,1,,,[],true,low,"[""DIRECTOR OF AUTOMATION""]",auto,2026-06-07,2026-06-07
Squirrels Square LLC,LLC,541511,11239 Grapevine Ln,Frisco,TX,75035,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
Pro-Shooter LLC,LLC,541512,1401 Greengrass Drive,Houston,TX,77008,1,,,[],true,low,"[""Software Engineer""]",auto,2026-06-07,2026-06-07
DPCon Solutions LLC,LLC,541511,"6010 W Spring Parkway Suite#204",Plano,TX,75024,1,,,[],true,low,"[""Solution Architect""]",auto,2026-06-07,2026-06-07
Synerzip LLC,LLC,541511,"4100 Spring Valley Road #308",Dallas,TX,75244,1,,,[],true,low,"[""Technical Development Manager""]",auto,2026-06-07,2026-06-07
"GATHI ANALYTICS,LLC.",LLC,541512,"5700 Granite Parkway Suite # 850",Plano,TX,75024,1,,,[],true,low,"[""Sr. Data Engineer""]",auto,2026-06-07,2026-06-07
"Headspring, LLC",LLC,541511,1632 South First St. Ste. 200,Austin,TX,78704,1,,,[],true,low,"[""UX/UI DESIGNER""]",auto,2026-06-07,2026-06-07
"Jungle Disk, LLC",LLC,541511,425 Soledad Street,San Antonio,TX,78205,1,,,[],true,low,"[""Software Developer""]",auto,2026-06-07,2026-06-07
"Radix IoT, LLC",LLC,541511,14555 Dallas Parkway Suite 125,Dallas,TX,75254,1,,,[],true,low,"[""Lead Developer""]",auto,2026-06-07,2026-06-07
